vereador	nome_oficial	nome_urna	partido	cidade	ano	votos	status_match	score_nome	arquivo	link
ALEXANDRO SANTOS ALVES SILVA	ALEXANDRO SANTOS ALVES SILVA	TETECO ALEXANDRO	MDB	FERRAZ DE VASCONCELOS	2024	1377	auto_exato_ou_quase	1.0	/Users/geovaniomonteiro/Projetos/Quadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_alexandro_santos_alves_silva_ferraz_de_vasconcelos_2024.html	https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_alexandro_santos_alves_silva_ferraz_de_vasconcelos_2024.html
ELIEL DE SOUZA	ELIEL DE SOUZA	ELIEL FOX	REPUBLICANOS	FERRAZ DE VASCONCELOS	2024	1489	auto_exato_ou_quase	1.0	/Users/geovaniomonteiro/Projetos/Quadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_eliel_de_souza_ferraz_de_vasconcelos_2024.html	https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_eliel_de_souza_ferraz_de_vasconcelos_2024.html
HODIRLEI MARTINS PEREIRA	HODIRLEI MARTINS PEREIRA	MINEIRO	MDB	FERRAZ DE VASCONCELOS	2024	2372	auto_exato_ou_quase	1.0	/Users/geovaniomonteiro/Projetos/Quadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_hodirlei_martins_pereira_ferraz_de_vasconcelos_2024.html	https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_hodirlei_martins_pereira_ferraz_de_vasconcelos_2024.html
JOÃO BATISTA DE SOUSA	JOÃO BATISTA DE SOUSA	JOÃO PDS	AGIR	FERRAZ DE VASCONCELOS	2024	146	revisar_score_medio	0.8182	/Users/geovaniomonteiro/Projetos/Quadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_joao_batista_de_sousa_ferraz_de_vasconcelos_2024.html	https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_joao_batista_de_sousa_ferraz_de_vasconcelos_2024.html
RENATO RAMOS DE SOUZA	RENATO RAMOS DE SOUZA	RENATINHO SE LIGUE	PL	FERRAZ DE VASCONCELOS	2024	1575	auto_exato_ou_quase	1.0	/Users/geovaniomonteiro/Projetos/Quadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_renato_ramos_de_souza_ferraz_de_vasconcelos_2024.html	https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_renato_ramos_de_souza_ferraz_de_vasconcelos_2024.html
ANDRÉ APARECIDO ALVES DE ARAUJO	ANDRÉ APARECIDO ALVES DE ARAUJO	ANDRÉ ARAUJO	PL	GUARAREMA	2024	682	auto_exato_ou_quase	1.0	/Users/geovaniomonteiro/Projetos/Quadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_andre_aparecido_alves_de_araujo_guararema_2024.html	https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_andre_aparecido_alves_de_araujo_guararema_2024.html
MARIA DE FATIMA SOARES PEREIRA DE SOUZA	MARIA DE FATIMA SOARES PEREIRA DE SOUZA	FATINHA SOARES	AGIR	GUARAREMA	2024	598	auto_exato_ou_quase	1.0	/Users/geovaniomonteiro/Projetos/Quadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_maria_de_fatima_soares_pereira_de_souza_guararema_2024.html	https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_maria_de_fatima_soares_pereira_de_souza_guararema_2024.html
VANESSA MARTINS DOS SANTOS	VANESSA MARTINS DOS SANTOS	VANESSA MARTINS	AGIR	GUARAREMA	2024	622	auto_exato_ou_quase	1.0	/Users/geovaniomonteiro/Projetos/Quadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_vanessa_martins_dos_santos_guararema_2024.html	https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_vanessa_martins_dos_santos_guararema_2024.html
GUILHERME RAFAEL DOS SANTOS JUNQUEIRA REIS	GUILHERME RAFAEL DOS SANTOS JUNQUEIRA REIS	GUILHERME JUNQUEIRA	PMB	GUARATINGUETÁ	2024	10	revisar_score_medio	0.7157	/Users/geovaniomonteiro/Projetos/Quadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_guilherme_rafael_dos_santos_junqueira_reis_guaratingueta_2024.html	https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_guilherme_rafael_dos_santos_junqueira_reis_guaratingueta_2024.html
MARCELO AUGUSTO DE ASSIS	MARCELO AUGUSTO DE ASSIS	MARCELO DA SANTA CASA	PSD	GUARATINGUETÁ	2024	1546	auto_exato_ou_quase	1.0	/Users/geovaniomonteiro/Projetos/Quadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_marcelo_augusto_de_assis_guaratingueta_2024.html	https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_marcelo_augusto_de_assis_guaratingueta_2024.html
MARCIO DE OLIVEIRA ALMEIDA	MARCIO DE OLIVEIRA ALMEIDA	MARCIO ALMEIDA	PL	GUARATINGUETÁ	2024	2792	auto_exato_ou_quase	1.0	/Users/geovaniomonteiro/Projetos/Quadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_marcio_de_oliveira_almeida_guaratingueta_2024.html	https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_marcio_de_oliveira_almeida_guaratingueta_2024.html
PEDRO SANNINI ANDRADE DOS SANTOS	PEDRO SANNINI ANDRADE DOS SANTOS	PEDRO SANNINI	PL	GUARATINGUETÁ	2024	1681	auto_exato_ou_quase	1.0	/Users/geovaniomonteiro/Projetos/Quadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_pedro_sannini_andrade_dos_santos_guaratingueta_2024.html	https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_pedro_sannini_andrade_dos_santos_guaratingueta_2024.html
ROSALICE GALVÃO FILIPPO FERNANDES	ROSALICE GALVÃO FILIPPO FERNANDES	ROSA FILIPPO	PSD	GUARATINGUETÁ	2024	692	auto_exato_ou_quase	1.0	/Users/geovaniomonteiro/Projetos/Quadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_rosalice_galvao_filippo_fernandes_guaratingueta_2024.html	https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_rosalice_galvao_filippo_fernandes_guaratingueta_2024.html
FERNANDA STEFANI CURTI	FERNANDA STEFANI CURTI	FERNANDA CURTI	PT	GUARULHOS	2024	9924	auto_exato_ou_quase	1.0	/Users/geovaniomonteiro/Projetos/Quadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_fernanda_stefani_curti_guarulhos_2024.html	https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_fernanda_stefani_curti_guarulhos_2024.html
GUTEMBERG MENDES TAVARES	GUTEMBERG MENDES TAVARES	GUTO TAVARES	PDT	GUARULHOS	2024	4766	auto_exato_ou_quase	1.0	/Users/geovaniomonteiro/Projetos/Quadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_gutemberg_mendes_tavares_guarulhos_2024.html	https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_gutemberg_mendes_tavares_guarulhos_2024.html
JANETE ROCHA PIETÁ	JANETE ROCHA PIETÁ	JANETE PIETA	REDE	GUARULHOS	2024	10774	auto_exato_ou_quase	1.0	/Users/geovaniomonteiro/Projetos/Quadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_janete_rocha_pieta_guarulhos_2024.html	https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_janete_rocha_pieta_guarulhos_2024.html
RAFAEL APARECIDO CARLOS ACOSTA	RAFAEL APARECIDO CARLOS ACOSTA	RAFAEL ACOSTA	PSB	GUARULHOS	2024	14162	auto_exato_ou_quase	1.0	/Users/geovaniomonteiro/Projetos/Quadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_rafael_aparecido_carlos_acosta_guarulhos_2024.html	https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_rafael_aparecido_carlos_acosta_guarulhos_2024.html
ROMULO ORNELAS DE OLIVEIRA	ROMULO ORNELAS DE OLIVEIRA	PROF RÔMULO	PT	GUARULHOS	2024	13118	auto_exato_ou_quase	1.0	/Users/geovaniomonteiro/Projetos/Quadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_romulo_ornelas_de_oliveira_guarulhos_2024.html	https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_romulo_ornelas_de_oliveira_guarulhos_2024.html
CARLOS ALBERTO DE ANDRADE	CARLOS ALBERTO DE ANDRADE	CARLÃO DA ILHA	AVANTE	ILHABELA	2024	14	revisar_score_medio	0.8448	/Users/geovaniomonteiro/Projetos/Quadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_carlos_alberto_de_andrade_ilhabela_2024.html	https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_mogi/vereadores_malu_mogi_carlos_alberto_de_andrade_ilhabela_2024.html
