nome_oficial,nome_urna,partido,cidade,ano,votos,link
MARCIO DE OLIVEIRA ALMEIDA,MARCIO ALMEIDA,PL,GUARATINGUETÁ,2024,2792,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_marcio_de_oliveira_almeida_guaratingueta_2024.html
PEDRO SANNINI ANDRADE DOS SANTOS,PEDRO SANNINI,PL,GUARATINGUETÁ,2024,1681,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_pedro_sannini_andrade_dos_santos_guaratingueta_2024.html
ROSALICE GALVÃO FILIPPO FERNANDES,ROSA FILIPPO,PSD,GUARATINGUETÁ,2024,692,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_rosalice_galvao_filippo_fernandes_guaratingueta_2024.html
ORLANDO MAURICIO JUNIOR,MAURÍCIO BRINQUINHO,PT,GUARULHOS,2024,2408,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_orlando_mauricio_junior_guarulhos_2024.html
CARLOS ALBERTO DE ANDRADE,CARLÃO DA ILHA,AVANTE,ILHABELA,2024,14,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_carlos_alberto_de_andrade_ilhabela_2024.html
GABRIEL AUGUSTO DE OLIVEIRA SOUZA ROCHA,GABRIEL ROCHA,PL,ILHABELA,2024,761,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_gabriel_augusto_de_oliveira_souza_rocha_ilhabela_2024.html
NANCI PERES DE ARAUJO ZANATO,NANCI ZANATO,PL,ILHABELA,2024,203,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_nanci_peres_de_araujo_zanato_ilhabela_2024.html
THIAGO SOUZA SANTOS,DR THIAGO,REPUBLICANOS,ILHABELA,2024,777,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_thiago_souza_santos_ilhabela_2024.html
ARNÔ RIBEIRO NOVAES,ARNÔ CABELEIREIRO,PL,ITAQUAQUECETUBA,2024,2374,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_arno_ribeiro_novaes_itaquaquecetuba_2024.html
CESAR DINIZ DE SOUZA,CESINHA DA ASSOCIAÇÃO,PL,ITAQUAQUECETUBA,2024,2389,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_cesar_diniz_de_souza_itaquaquecetuba_2024.html
EDSON DE SOUZA MOURA,EDSON MOURA,PL,ITAQUAQUECETUBA,2024,4766,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_edson_de_souza_moura_itaquaquecetuba_2024.html
ROQUE LEVI SANTOS TAVARES,DR. ROQUE,PL,ITAQUAQUECETUBA,2024,3564,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_roque_levi_santos_tavares_itaquaquecetuba_2024.html
DANIEL MARIANO TEIXEIRA,DANIEL MARIANO,PL,JACAREÍ,2024,1820,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_daniel_mariano_teixeira_jacarei_2024.html
JEAN JOSÉ ALMEIDA ARAÚJO,JEAN ARAÚJO,PP,JACAREÍ,2024,1348,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_jean_jose_almeida_araujo_jacarei_2024.html
LUIS FLÁVIO DIAS,LUÍS FLÁVIO FLAVINHO,PT,JACAREÍ,2024,887,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_luis_flavio_dias_jacarei_2024.html
PAULO LUÍS SANTOS,PAULINHO DO ESPORTE,PODE,JACAREÍ,2024,1167,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_paulo_luis_santos_jacarei_2024.html
ROBERTO TARCISO DE ABREU,ROBERTO ABREU,PP,JACAREÍ,2024,1161,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_roberto_tarciso_de_abreu_jacarei_2024.html
BRUNO DE CAMARGO EDUARDO,BRUNO CAMARGO,PSD,LORENA,2024,785,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_bruno_de_camargo_eduardo_lorena_2024.html
BRUNO LORENA NOGUEIRA DA SILVA,BRUNO LORENA,PSDB,LORENA,2024,1105,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_bruno_lorena_nogueira_da_silva_lorena_2024.html
BRUNO RIBEIRO,BRUNINHO RIBEIRO,REPUBLICANOS,LORENA,2024,939,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_bruno_ribeiro_lorena_2024.html
CARLOS ALBERTO PEREIRA,BETO PEREIRA,PSD,LORENA,2024,928,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_carlos_alberto_pereira_lorena_2024.html
RAFAEL ANDRADE DE MELO,RAFAEL DE MELO,MDB,LORENA,2024,451,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_rafael_andrade_de_melo_lorena_2024.html
WALDEMILSON DA SILVA,TÃO,PP,LORENA,2024,666,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_waldemilson_da_silva_lorena_2024.html
MAURO LUIS CLAUDINO DE ARAÚJO,MAURO ARAÚJO,MDB,MOGI DAS CRUZES,2024,957,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_mauro_luis_claudino_de_araujo_mogi_das_cruzes_2024.html
OSVALDO ANTONIO DA SILVA,OSVALDO SILVA,REPUBLICANOS,MOGI DAS CRUZES,2024,1330,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_osvaldo_antonio_da_silva_mogi_das_cruzes_2024.html
PEDRO HIDEKI KOMURA,PEDRO KOMURA,UNIÃO,MOGI DAS CRUZES,2024,982,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_pedro_hideki_komura_mogi_das_cruzes_2024.html
EDSON DEMETRIO DE SOUZA,EDSON DEMETRIO,PP,POÁ,2024,696,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_edson_demetrio_de_souza_poa_2024.html
EMERSON AMORIM CASSIANO DOS SANTOS,EMERSON DENTINHO,PODE,POÁ,2024,1323,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_emerson_amorim_cassiano_dos_santos_poa_2024.html
RAPHAEL BERNARDES GROTHE,DR. RAPHAEL GROTHE,AVANTE,POÁ,2024,840,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_raphael_bernardes_grothe_poa_2024.html
RENATO GOMES BARRETO,RENATO DA PADARIA,PODE,POÁ,2024,653,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_renato_gomes_barreto_poa_2024.html
ROBERTO DE MELO VIEIRA,BETO MELO,PP,POÁ,2024,502,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_roberto_de_melo_vieira_poa_2024.html
ROGERIO OLIVEIRA GOMES,ROGERINHO,PSB,POÁ,2024,850,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_rogerio_oliveira_gomes_poa_2024.html
ROGERIO RODRIGUES MATHIAS,PROF. ROGÉRIO MATHIAS,PP,POÁ,2024,927,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_rogerio_rodrigues_mathias_poa_2024.html
SAULO TEIXEIRA ALBERTO DA COSTA,DR. SAULO DENTISTA,UNIÃO,POÁ,2024,877,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_saulo_teixeira_alberto_da_costa_poa_2024.html
CLAUDINEI JOSE DE OLIVEIRA,NEI DO ZÉ DO ANISIO,MDB,SALESÓPOLIS,2024,268,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_claudinei_jose_de_oliveira_salesopolis_2024.html
LOURENÇO FRANCISCO DE OLIVEIRA JUNIOR,LOURENÇO JUNIOR,PODE,SALESÓPOLIS,2024,767,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_lourenco_francisco_de_oliveira_junior_salesopolis_2024.html
PAULO CEZAR MONTEIRO,MINEIRO DO RESTAURANTE,PSD,SALESÓPOLIS,2024,241,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/vereadores_malu_fernandes/vereadores_malu_fernandes_paulo_cezar_monteiro_salesopolis_2024.html
