nome_oficial	nome_urna	partido	cidade	motivo
MARCOS ROBERTO ALVES PEREIRA	MARCOS PEREIRA-CULINO	PDT	GUARAREMA	sem votos ou nome não encontrado
GERALDO ALVES CELESTINO FILHO	GERALDO CELESTINO	MOBILIZA	GUARULHOS	sem votos ou nome não encontrado
DOMINGOS SAVIO AQUINO FORTES	DIRETOR SAVIO FORTES	AVANTE	LORENA	sem votos ou nome não encontrado
MAURO DE ASSIS MARGARIDO	MAURINHO DO DESPACHANTE	PRD	MOGI DAS CRUZES	sem votos ou nome não encontrado
REBECCA BARBOSA MARCONDES	REBECCA BARBOSA	PL	SALESÓPOLIS	sem votos ou nome não encontrado
IVETE ARAÚJO DE SOUZA	IVETE SOUZA	PSB	SANTOS	sem votos ou nome não encontrado
MARCOS ANTONIO DOS SANTOS	MAIZENA	PRD	SUZANO	sem votos ou nome não encontrado
JOSE RUFINO DA SILVA	BONI	SOLIDARIEDADE	SÃO SEBASTIÃO	sem votos ou nome não encontrado
RODSON LIMA SILVA JUNIOR	BOBI RODSON LIMA JR	PRD	TAUBATÉ	sem votos ou nome não encontrado
