nome_oficial,nome_urna,partido,cidade,ano,votos,link
KARINA CELESTE MOURA PIRES,KARINA SOLTUR,PSD,GUARULHOS,2024,12506,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_karina_celeste_moura_pires_guarulhos_2024.html
RAFAEL APARECIDO CARLOS ACOSTA,RAFAEL ACOSTA,PSB,GUARULHOS,2024,14162,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_rafael_aparecido_carlos_acosta_guarulhos_2024.html
ROMULO ORNELAS DE OLIVEIRA,PROF RÔMULO,PT,GUARULHOS,2024,13118,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_romulo_ornelas_de_oliveira_guarulhos_2024.html
EDILSON CESAR DOS SANTOS,EDILSON DA ILHA,PL,ILHABELA,2024,518,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_edilson_cesar_dos_santos_ilhabela_2024.html
GABRIEL AUGUSTO DE OLIVEIRA SOUZA ROCHA,GABRIEL ROCHA,PL,ILHABELA,2024,761,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_gabriel_augusto_de_oliveira_souza_rocha_ilhabela_2024.html
DAVID RIBEIRO DA SILVA,DAVID NETO,PL,ITAQUAQUECETUBA,2024,8547,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_david_ribeiro_da_silva_itaquaquecetuba_2024.html
GUSTAVO RAMOS DE MACEDO,GUSTAVO,PT,ITAQUAQUECETUBA,2024,635,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_gustavo_ramos_de_macedo_itaquaquecetuba_2024.html
LESSANDRA GONÇALVES,LESSANDRA DA PAIOL,PODE,ITAQUAQUECETUBA,2024,3743,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_lessandra_goncalves_itaquaquecetuba_2024.html
MARIA CRISTINA PERPÉTUO DOS SANTOS SOARES,MARIA CRISTINA PERPETUO,PL,ITAQUAQUECETUBA,2024,2819,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_maria_cristina_perpetuo_dos_santos_soares_itaquaquecetuba_2024.html
ROMUALDO VALDIR DA SILVA,ROMUALDO TVR,PSB,ITAQUAQUECETUBA,2024,1651,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_romualdo_valdir_da_silva_itaquaquecetuba_2024.html
DANIEL MARIANO TEIXEIRA,DANIEL MARIANO,PL,JACAREÍ,2024,1820,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_daniel_mariano_teixeira_jacarei_2024.html
GABRIEL BELEM DOS SANTOS,GABRIEL BELÉM,PSB,JACAREÍ,2024,2971,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_gabriel_belem_dos_santos_jacarei_2024.html
MARIA AMÉLIA MACHADO MARCONDES DE OLIVEIRA,MARIA AMÉLIA,PSDB,JACAREÍ,2024,1521,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_maria_amelia_machado_marcondes_de_oliveira_jacarei_2024.html
PAULO LUÍS SANTOS,PAULINHO DO ESPORTE,PODE,JACAREÍ,2024,1167,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_paulo_luis_santos_jacarei_2024.html
BRUNO LORENA NOGUEIRA DA SILVA,BRUNO LORENA,PSDB,LORENA,2024,1105,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_bruno_lorena_nogueira_da_silva_lorena_2024.html
ELIDA DO AMARAL VIEIRA,ELIDA VIEIRA,PODE,LORENA,2024,1274,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_elida_do_amaral_vieira_lorena_2024.html
FELIPE AUGUSTO TEDESCHI LINTZ,FELIPE LINTZ,PL,MOGI DAS CRUZES,2024,3009,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_felipe_augusto_tedeschi_lintz_mogi_das_cruzes_2024.html
INÊS PAZ,INÊS PAZ,PSOL,MOGI DAS CRUZES,2024,2265,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_ines_paz_mogi_das_cruzes_2024.html
JULIANO MALAQUIAS BOTELHO,JULIANO BOTELHO,PSB,MOGI DAS CRUZES,2024,1403,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_juliano_malaquias_botelho_mogi_das_cruzes_2024.html
MARCOS PAULO TAVARES FURLAN,MARCOS FURLAN,PODE,MOGI DAS CRUZES,2024,1575,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_marcos_paulo_tavares_furlan_mogi_das_cruzes_2024.html
MARIA LUIZA FERNANDES,MALU FERNANDES,PL,MOGI DAS CRUZES,2024,3868,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_maria_luiza_fernandes_mogi_das_cruzes_2024.html
EMERSON AMORIM CASSIANO DOS SANTOS,EMERSON DENTINHO,PODE,POÁ,2024,1323,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_emerson_amorim_cassiano_dos_santos_poa_2024.html
LUCAS ALVES FERRARI,LUCAS FERRARI,PL,POÁ,2024,2050,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_lucas_alves_ferrari_poa_2024.html
RAPHAEL BERNARDES GROTHE,DR. RAPHAEL GROTHE,AVANTE,POÁ,2024,840,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_raphael_bernardes_grothe_poa_2024.html
ROGERIO RODRIGUES MATHIAS,PROF. ROGÉRIO MATHIAS,PP,POÁ,2024,927,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_rogerio_rodrigues_mathias_poa_2024.html
SAULO TEIXEIRA ALBERTO DA COSTA,DR. SAULO DENTISTA,UNIÃO,POÁ,2024,877,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_saulo_teixeira_alberto_da_costa_poa_2024.html
DEBORA APARECIDA RODRIGUES BORGES,DEBORA BORGES,PODE,SALESÓPOLIS,2024,344,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_debora_aparecida_rodrigues_borges_salesopolis_2024.html
LOURENÇO FRANCISCO DE OLIVEIRA JUNIOR,LOURENÇO JUNIOR,PODE,SALESÓPOLIS,2024,767,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_lourenco_francisco_de_oliveira_junior_salesopolis_2024.html
BRUNA RAFAELA MENDES,BRUNA PATI,UNIÃO,SANTA ISABEL,2024,1222,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_bruna_rafaela_mendes_santa_isabel_2024.html
CRISTIANO FELIZARDO DA SILVEIRA,CRISTIANO DA ORTOPEDIA,PP,SANTA ISABEL,2024,402,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_cristiano_felizardo_da_silveira_santa_isabel_2024.html
JAIRO FURINI NETO,JAIRO FURINI,PP,SANTA ISABEL,2024,164,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_jairo_furini_neto_santa_isabel_2024.html
MARIA TELMA ALMEIDA FERREIRA PEREIRA,MARIA TELMA,UNIÃO,SANTA ISABEL,2024,484,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_maria_telma_almeida_ferreira_pereira_santa_isabel_2024.html
ADILSON DOS SANTOS JUNIOR,ADILSON JUNIOR,PP,SANTOS,2024,4286,https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_adilson_dos_santos_junior_santos_2024.html
