EDILSON CESAR DOS SANTOS | ILHABELA | PL | 518 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_edilson_cesar_dos_santos_ilhabela_2024.html
GABRIEL AUGUSTO DE OLIVEIRA SOUZA ROCHA | ILHABELA | PL | 761 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_gabriel_augusto_de_oliveira_souza_rocha_ilhabela_2024.html
DAVID RIBEIRO DA SILVA | ITAQUAQUECETUBA | PL | 8547 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_david_ribeiro_da_silva_itaquaquecetuba_2024.html
GUSTAVO RAMOS DE MACEDO | ITAQUAQUECETUBA | PT | 635 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_gustavo_ramos_de_macedo_itaquaquecetuba_2024.html
LESSANDRA GONÇALVES | ITAQUAQUECETUBA | PODE | 3743 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_lessandra_goncalves_itaquaquecetuba_2024.html
MARIA CRISTINA PERPÉTUO DOS SANTOS SOARES | ITAQUAQUECETUBA | PL | 2819 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_maria_cristina_perpetuo_dos_santos_soares_itaquaquecetuba_2024.html
ROMUALDO VALDIR DA SILVA | ITAQUAQUECETUBA | PSB | 1651 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_romualdo_valdir_da_silva_itaquaquecetuba_2024.html
DANIEL MARIANO TEIXEIRA | JACAREÍ | PL | 1820 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_daniel_mariano_teixeira_jacarei_2024.html
GABRIEL BELEM DOS SANTOS | JACAREÍ | PSB | 2971 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_gabriel_belem_dos_santos_jacarei_2024.html
MARIA AMÉLIA MACHADO MARCONDES DE OLIVEIRA | JACAREÍ | PSDB | 1521 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_maria_amelia_machado_marcondes_de_oliveira_jacarei_2024.html
PAULO LUÍS SANTOS | JACAREÍ | PODE | 1167 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_paulo_luis_santos_jacarei_2024.html
BRUNO LORENA NOGUEIRA DA SILVA | LORENA | PSDB | 1105 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_bruno_lorena_nogueira_da_silva_lorena_2024.html
ELIDA DO AMARAL VIEIRA | LORENA | PODE | 1274 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_elida_do_amaral_vieira_lorena_2024.html
FELIPE AUGUSTO TEDESCHI LINTZ | MOGI DAS CRUZES | PL | 3009 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_felipe_augusto_tedeschi_lintz_mogi_das_cruzes_2024.html
INÊS PAZ | MOGI DAS CRUZES | PSOL | 2265 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_ines_paz_mogi_das_cruzes_2024.html
JULIANO MALAQUIAS BOTELHO | MOGI DAS CRUZES | PSB | 1403 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_juliano_malaquias_botelho_mogi_das_cruzes_2024.html
MARCOS PAULO TAVARES FURLAN | MOGI DAS CRUZES | PODE | 1575 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_marcos_paulo_tavares_furlan_mogi_das_cruzes_2024.html
MARIA LUIZA FERNANDES | MOGI DAS CRUZES | PL | 3868 votos | https://quadrifysa.github.io/mapasquadrify/mapas-gerados/malu_fernandes/malu_fernandes_maria_luiza_fernandes_mogi_das_cruzes_2024.html
